ID,Edad ,Age,Gender,Municipalitie,Ecosystem,Community,Place,Reproduccion ,Associated,Abundace,Ene,Feb,Mar,Abr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Threats,Cotomaquilitl,Xoxoco,Pitzahuaquilitl,Xaxalto,Huitzioquilitl,Michiquilitl,Teposquilitl,Xoxoco1,Huaquilitlpoxahuac,Huaquilitlixtac,YamoleoTototlquilitl,Atetziltzi,Cayochoquilitl,Xoxoco2,Chichikquilitl,Index1,Index,Cotomaquilitl,Xoxoco_C,Pitzahuaquilitl_C,Xaxalto_C,Huitzioquilitl_C,Michiquilitl_C,Teposquilitl_C,Xoxoco1_C,Huaquilitl poxahuac_C,Huaquilitl ixtac_C,YamoleoTototlquilitl_C,Atetziltzi_C,Cayochoquilitl_C,Xoxoco2_C,Chichikquilitl_C,Observaciones_C
53,35,31-41,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra,"Flores,milpa y arboles frutales",Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se le da un manejo,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,7,46.7,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
54,18,18-30,M,Tequila,Pine-oak forest,Zacatlamanca 2,Milpa,Siembra y regeneracion,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se siembra,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,20,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0
55,73,56-90,M,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,cafetal y monte",Siembra y regeneracion,Milpa,Había más,0,0,0,0,1,1,1,1,0,0,0,0,Cambio en la alimentacion,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,11,73.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
56,68,56-90,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,monte",Siembra y regeneracion,Milpa,Había más,0,0,0,0,1,1,1,1,0,0,0,0,No se siembra y cambio en la alimentacion,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,7,46.7,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
57,16,18-30,F,Tequila,Pine-oak forest,Zacatlamanca 2,Traspatio,Siembra,Flore y hortalizas,Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se siembra,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,5,33.3,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
58,36,31-41,F,Tequila,Pine-oak forest,Zacatlamanca 2,Milpa,Regenerativa,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se le da un manejo y animales,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,6,40,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0
59,19,18-30,F,Tequila,Pine-oak forest,Zacatlamanca 2,Traspatio,Siembra,Flores y hortalizas,Había más,0,0,0,0,0,1,1,0,0,0,0,0,No se siembra,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,20,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
60,27,18-30,F,Tequila,Pine-oak forest,Zacatlamanca 2,"Milpa,cafetal y monte",Siembra,Milpa,Sigue igual,0,0,0,0,0,1,1,0,0,0,0,0,Desconoce,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,20,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0
61,34,31-41,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración natural,"Café, Maiz",Había más,0,0,0,0,1,1,1,1,0,0,0,0,No se da manejo adecuado,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,14,93.3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
62,46,42-55,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneració natural y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se da manejo adecuado,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,5,33.3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
63,29,18-30,M,Zongolica,Montane cloud forest,Coapa Pinopa,Cafetal,Regeneración natural y siembra,"Café, Maiz",Había más,0,0,0,0,1,1,1,1,1,1,0,0,No se da manejo adecuado,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,6,40,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
64,34,31-41,M,Zongolica,Montane cloud forest,Coapa Pinopa,Cafetal,Regeneración natural y siembra,"Café, Maiz",Había más,0,0,0,0,1,1,1,1,1,0,0,0,No se da manejo adecuado,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,6,40,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
65,32,31-41,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Cafetal, traspatio",Regeneración natural y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se da manejo adecuado,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,5,33.3,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
66,40,31-41,M,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,1,0,0,0,No se da manejo adecuado,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,5,33.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
67,48,42-55,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se da manejo adecuado,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,9,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
68,33,31-41,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se da manejo adecuado,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,7,46.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
69,41,31-41,M,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,1,0,0,0,No se da manejo adecuado,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,26.7,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
70,90,56-90,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se da manejo adecuado,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,4,26.7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
71,39,31-41,F,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,0,1,1,1,0,0,0,0,No se da manejo adecuado,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,8,53.3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
72,59,56-90,M,Zongolica,Montane cloud forest,Coapa Pinopa,"Milpa, Cafetal",Regeneración y siembra,"Café, Maiz",Había más,0,0,0,0,1,1,1,1,0,0,0,0,No se da manejo adecuado,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,6,40,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
